"geneID"	"percentMeth"
"g1142"	0
"g11420"	0
"g11421"	0
"g11422"	0
"g11423"	0
"g11424"	0
"g11425"	100
"g11426"	0
"g11427"	29.1666665
"g11428"	0
"g11429"	0
"g1143"	0
"g11430"	0
"g11431"	0
"g11432"	0
"g11433"	0
"g11434"	0
"g11435"	0
"g11436"	0
"g11437"	0
"g11438"	0
"g11439"	0
"g11440"	0
"g11441"	0
"g11442"	0
"g11443"	0
"g11446"	0
"g11447"	0
"g11448"	0
"g11449"	0
"g1145"	0
"g11450"	0
"g11451"	0
"g11452"	0
"g11453"	0
"g11454"	0
"g11455"	15.4761905
"g11456"	0
"g11457"	0
"g11458"	0
"g11459"	0
"g1146"	0
"g11460"	0
"g11461"	0
"g11462"	0
"g11463"	0
"g11464"	0
"g11465"	0
"g11466"	0
"g11467"	20
"g11469"	0
"g1147"	0
"g11470"	0
"g11471"	0
"g11472"	0
"g11473"	0
"g11474"	0
"g11475"	0
"g11476"	0
"g11477"	0
"g11478"	0
"g11479"	0
"g1148"	0
"g11480"	0
"g11481"	0
"g11482"	0
"g11483"	0
"g11484"	3.739429
"g11485"	0
"g11486"	0
"g11487"	0
"g11488"	0
"g11489"	0
"g1149"	0
"g11490"	16.666667
"g11491"	0
"g11493"	0
"g11495"	0
"g11496"	0
"g11497"	0
"g11498"	0
"g11499"	0
"g115"	0
"g1150"	0
"g11500"	0
"g11502"	0
"g11503"	0
"g11504"	66.0714285
"g11505"	0
"g11506"	0
"g11507"	0
"g11508"	0
"g11509"	0
"g1151"	11.111111
"g11510"	0
"g11511"	0
"g11515"	0
"g11516"	0
"g11517"	50
"g11518"	10.062893
"g11519"	0
"g1152"	0
"g11521"	0
"g11522"	0
"g11523"	0
"g11524"	0
"g11525"	0
"g11526"	0
"g11527"	0
"g11528"	30.5555555
"g11529"	0
"g1153"	0
"g11530"	0
"g11531"	8.712121
"g11532"	0
"g11533"	0
"g11534"	0
"g11535"	0
"g11536"	0
"g11537"	0
"g11538"	0
"g11539"	0
"g1154"	0
"g11544"	0
"g11545"	0
"g11546"	0
"g11547"	0
"g11548"	0
"g11549"	0
"g1155"	93.75
"g11550"	0
"g11551"	0
"g11552"	0
